,forecast_date,product_name,central_mayorista,rolling_forecast
8083,2023-12-15,item_04,location_01,2149.0
8084,2023-12-15,item_11,location_01,1875.0
8085,2023-12-15,item_13,location_01,2049.0
8086,2023-12-16,item_03,location_01,7458.0
8087,2023-12-16,item_06,location_01,2363.0
8088,2023-12-16,item_02,location_01,10625.0
8089,2023-12-16,item_12,location_01,4023.0
8090,2023-12-16,item_07,location_01,3933.0
8091,2023-12-16,item_10,location_01,2038.0
8092,2023-12-16,item_08,location_01,2033.0
8093,2023-12-16,item_09,location_01,3350.0
8094,2023-12-16,item_01,location_01,1517.0
8095,2023-12-16,item_05,location_01,2688.0
8096,2023-12-16,item_04,location_01,2143.0
8097,2023-12-16,item_11,location_01,1938.0
8098,2023-12-16,item_13,location_01,1972.0
8099,2023-12-18,item_03,location_01,7646.0
8100,2023-12-18,item_06,location_01,2125.0
8101,2023-12-18,item_02,location_01,10938.0
8102,2023-12-18,item_12,location_01,4000.0
8103,2023-12-18,item_07,location_01,2967.0
8104,2023-12-18,item_10,location_01,2188.0
8105,2023-12-18,item_08,location_01,2008.0
8106,2023-12-18,item_09,location_01,3575.0
8107,2023-12-18,item_01,location_01,1638.0
8108,2023-12-18,item_05,location_01,2625.0
8109,2023-12-18,item_04,location_01,1964.0
8110,2023-12-18,item_11,location_01,1825.0
8111,2023-12-18,item_13,location_01,1854.0
8112,2023-12-19,item_03,location_01,7792.0
8113,2023-12-19,item_06,location_01,2063.0
8114,2023-12-19,item_02,location_01,10792.0
8115,2023-12-19,item_12,location_01,3909.0
8116,2023-12-19,item_07,location_01,2975.0
8117,2023-12-19,item_10,location_01,2225.0
8118,2023-12-19,item_08,location_01,1983.0
8119,2023-12-19,item_09,location_01,3650.0
8120,2023-12-19,item_01,location_01,1646.0
8121,2023-12-19,item_05,location_01,2625.0
8122,2023-12-19,item_04,location_01,1631.0
8123,2023-12-19,item_11,location_01,1838.0
8124,2023-12-19,item_13,location_01,1576.0
