,forecast_idx,product_name,central_mayorista,TFT-L_smape,TFT-S_smape,DeepAR_smape,N-Hits_smape,rolling_smape,best_global_smape_model
24,5,item_05,location_01,0.38,0.35,0.46,0.13,0.13333333333333333,rolling_smape
25,1,item_06,location_01,0.24,0.3,0.3,0.11,0.12310047009948617,N-Hits_smape
26,2,item_06,location_01,0.23,0.36,0.01,0.1,0.1767857142857143,N-Hits_smape
27,3,item_06,location_01,0.26,0.35,0.02,0.01,0.012776831345826235,N-Hits_smape
28,4,item_06,location_01,0.36,0.4,0.77,0.15,0.08902877697841727,N-Hits_smape
29,5,item_06,location_01,0.38,0.45,0.32,0.15,0.15803571428571428,N-Hits_smape
30,1,item_07,location_01,0.0,0.1,0.22,0.06,0.2620222402238751,TFT-S_smape
31,2,item_07,location_01,0.0,0.05,0.09,0.06,0.27140120819213204,TFT-S_smape
32,3,item_07,location_01,0.01,0.11,0.09,0.03,0.27735958309206715,TFT-S_smape
33,4,item_07,location_01,0.27,0.13,0.45,0.26,0.005746155146188947,TFT-S_smape
34,5,item_07,location_01,0.27,0.15,0.03,0.23,0.25,TFT-S_smape
35,1,item_08,location_01,0.39,0.26,0.36,0.03,0.012422360248447204,rolling_smape
36,2,item_08,location_01,0.39,0.3,0.27,0.06,0.016364988842053063,rolling_smape
37,3,item_08,location_01,0.37,0.26,0.05,0.02,0.016364988842053063,rolling_smape
38,4,item_08,location_01,0.38,0.24,0.19,0.01,0.03281900563311291,rolling_smape
39,5,item_08,location_01,0.4,0.27,0.31,0.01,0.008536279186542806,rolling_smape
40,1,item_09,location_01,0.29,0.31,0.32,0.03,0.0837951673686544,N-Hits_smape
41,2,item_09,location_01,0.29,0.34,0.42,0.04,0.048,N-Hits_smape
42,3,item_09,location_01,0.25,0.29,0.34,0.0,0.03663003663003663,N-Hits_smape
43,4,item_09,location_01,0.19,0.2,0.22,0.06,0.09523809523809523,N-Hits_smape
44,5,item_09,location_01,0.17,0.19,0.11,0.1,0.11594202898550725,N-Hits_smape
45,1,item_10,location_01,0.22,0.01,0.27,0.13,0.05089334055224689,TFT-S_smape
46,2,item_10,location_01,0.25,0.06,0.32,0.13,0.06711409395973154,TFT-S_smape
47,3,item_10,location_01,0.28,0.06,0.14,0.06,0.14469876348329386,TFT-S_smape
48,4,item_10,location_01,0.36,0.19,0.2,0.1,0.21513540875727663,TFT-S_smape
49,5,item_10,location_01,0.38,0.18,0.08,0.14,0.1771037181996086,TFT-S_smape
50,1,item_11,location_01,0.26,0.15,0.54,0.24,0.2307090311472844,TFT-S_smape
51,2,item_11,location_01,0.2,0.18,0.1,0.26,0.15827338129496402,TFT-S_smape
52,3,item_11,location_01,0.15,0.05,0.19,0.11,0.2385215131388969,TFT-S_smape
53,4,item_11,location_01,0.2,0.07,0.54,0.01,0.1791044776119403,TFT-S_smape
54,5,item_11,location_01,0.19,0.08,0.14,0.05,0.08508224617129892,TFT-S_smape
55,1,item_12,location_01,0.31,0.49,0.5,0.07,0.13175675675675674,N-Hits_smape
56,2,item_12,location_01,0.31,0.4,0.57,0.05,0.032079936891927424,N-Hits_smape
57,3,item_12,location_01,0.37,0.53,0.43,0.06,0.04342857142857143,N-Hits_smape
58,4,item_12,location_01,0.37,0.58,0.4,0.01,0.05259781911481719,N-Hits_smape
59,5,item_12,location_01,0.35,0.54,0.42,0.0,0.0204160744282207,N-Hits_smape
60,1,item_13,location_01,0.07,0.05,0.08,0.09,0.3026874115983027,TFT-S_smape
61,2,item_13,location_01,0.06,0.01,0.0,0.06,0.24363536819052833,TFT-S_smape
62,3,item_13,location_01,0.1,0.0,0.3,0.06,0.08787718369507676,TFT-S_smape
63,4,item_13,location_01,0.05,0.02,0.39,0.16,0.04430379746835443,TFT-S_smape
64,5,item_13,location_01,0.11,0.2,0.18,0.28,0.24742841256602724,TFT-S_smape
